# Region type : surface bottom
# Faces       : 92
# Area        : 1.953640e-06
# Scale factor: 1.000000e+00
# Time        	Area	areaAverage(nusseltOneMean)	areaAverage(nusseltTwoMean)	areaAverage(nusseltTotalMean)
30            	1.953640e-06	2.509431e+00	-3.108339e-01	2.820265e+00
30.0033       	1.953640e-06	2.509431e+00	-3.108335e-01	2.820265e+00
30.0066       	1.953640e-06	2.509432e+00	-3.108332e-01	2.820265e+00
30.0099       	1.953640e-06	2.509433e+00	-3.108328e-01	2.820266e+00
30.0133       	1.953640e-06	2.509433e+00	-3.108324e-01	2.820266e+00
30.0166       	1.953640e-06	2.509434e+00	-3.108321e-01	2.820266e+00
30.0199       	1.953640e-06	2.509435e+00	-3.108317e-01	2.820266e+00
30.0232       	1.953640e-06	2.509435e+00	-3.108313e-01	2.820267e+00
30.0265       	1.953640e-06	2.509436e+00	-3.108310e-01	2.820267e+00
30.0298       	1.953640e-06	2.509436e+00	-3.108306e-01	2.820267e+00
30.0332       	1.953640e-06	2.509437e+00	-3.108303e-01	2.820267e+00
30.0365       	1.953640e-06	2.509438e+00	-3.108299e-01	2.820268e+00
30.0398       	1.953640e-06	2.509438e+00	-3.108295e-01	2.820268e+00
30.0431       	1.953640e-06	2.509439e+00	-3.108292e-01	2.820268e+00
30.0464       	1.953640e-06	2.509439e+00	-3.108288e-01	2.820268e+00
30.0497       	1.953640e-06	2.509440e+00	-3.108285e-01	2.820268e+00
30.0531       	1.953640e-06	2.509441e+00	-3.108281e-01	2.820269e+00
30.0564       	1.953640e-06	2.509441e+00	-3.108277e-01	2.820269e+00
30.0597       	1.953640e-06	2.509442e+00	-3.108274e-01	2.820269e+00
30.063        	1.953640e-06	2.509442e+00	-3.108270e-01	2.820269e+00
30.0663       	1.953640e-06	2.509443e+00	-3.108267e-01	2.820270e+00
30.0696       	1.953640e-06	2.509443e+00	-3.108263e-01	2.820270e+00
30.0729       	1.953640e-06	2.509444e+00	-3.108259e-01	2.820270e+00
30.0763       	1.953640e-06	2.509445e+00	-3.108256e-01	2.820270e+00
30.0796       	1.953640e-06	2.509445e+00	-3.108252e-01	2.820270e+00
30.0829       	1.953640e-06	2.509446e+00	-3.108249e-01	2.820270e+00
30.0862       	1.953640e-06	2.509446e+00	-3.108245e-01	2.820271e+00
30.0895       	1.953640e-06	2.509447e+00	-3.108241e-01	2.820271e+00
30.0928       	1.953640e-06	2.509447e+00	-3.108238e-01	2.820271e+00
30.0962       	1.953640e-06	2.509448e+00	-3.108234e-01	2.820271e+00
30.0995       	1.953640e-06	2.509448e+00	-3.108231e-01	2.820271e+00
30.1028       	1.953640e-06	2.509449e+00	-3.108227e-01	2.820271e+00
30.1061       	1.953640e-06	2.509449e+00	-3.108223e-01	2.820272e+00
30.1094       	1.953640e-06	2.509450e+00	-3.108220e-01	2.820272e+00
30.1127       	1.953640e-06	2.509450e+00	-3.108216e-01	2.820272e+00
30.116        	1.953640e-06	2.509451e+00	-3.108213e-01	2.820272e+00
30.1194       	1.953640e-06	2.509451e+00	-3.108209e-01	2.820272e+00
